FID,ORIG_FID,x,y
0,0,116.358096367000000,39.867812969799999
1,0,116.358102462000010,39.867813945800002
2,0,116.359762592000000,39.868079880300002
3,0,116.362572181000000,39.868448881900001
4,0,116.368148293000000,39.868864900399998
5,1,116.437864581000000,39.870732271900003
6,1,116.437367227000000,39.870803949200003
7,1,116.436829032000010,39.870502469300000
8,1,116.436316486000000,39.870443406699998
9,1,116.433829358000000,39.870564391400002
10,1,116.433307713000000,39.870586180499998
11,2,116.350338112000000,39.905815833699997
12,2,116.350282780000000,39.906983353999998
13,2,116.350250348000000,39.908120067100000
14,2,116.350292344000000,39.908440231699998
15,2,116.350434355000000,39.909443930400002
16,2,116.350564168000010,39.910618713100000
17,2,116.350466935000000,39.912538953099997
18,3,116.419122593000000,39.948671650599998
19,3,116.418623090000000,39.948660744400001
20,3,116.416560180999990,39.948600197700003
21,3,116.414109416000000,39.948513043600002
22,3,116.410882399000000,39.948390926099997
23,3,116.410346530000000,39.948375555699997
24,3,116.410324153000000,39.948374946999998
25,4,116.428095597000000,39.927255891500003
26,4,116.428002123000000,39.929736777999999
27,4,116.427915479000010,39.932266620699998
28,5,116.427914878000000,39.932284126100001
29,5,116.427915479000010,39.932266620699998
30,6,116.410324153000000,39.948374946999998
31,6,116.410255382000000,39.948373073600003
32,7,116.358096367000000,39.867812969799999
33,7,116.358060851000000,39.867807280599997
34,7,116.355611807000000,39.867383832100003
35,7,116.353598908000000,39.867087820000002
36,7,116.350893309000000,39.866881070200002
37,7,116.345488976000000,39.866736396900002
38,8,116.423925974000000,39.948754330100002
39,8,116.420849735000000,39.948709224799998
40,8,116.419122593000000,39.948671650599998
41,9,116.387607526000000,39.947543654900002
42,9,116.387588251000000,39.948035464000000
43,10,116.387607526000000,39.947543654900002
44,10,116.387036814000000,39.947537072599999
45,10,116.384911805000000,39.947529793699999
46,10,116.379607867999990,39.947486304500003
47,10,116.376586996000000,39.947479757499998
48,10,116.375735786000010,39.947466064899999
49,10,116.375134538000000,39.947478095400001
50,10,116.374617456000000,39.947466965300002
51,10,116.373697957999990,39.947456359900002
52,11,116.416960002000000,39.871460968699999
53,11,116.419619192000000,39.871514146999999
54,11,116.421914277000000,39.871211308900001
55,11,116.431673929000000,39.870654403099998
56,11,116.433307713000000,39.870586180499998
57,12,116.415131401000000,39.871424361300001
58,12,116.415153428000000,39.870523628500003
59,13,116.438414879000010,39.888644327800002
60,13,116.437937773000000,39.892302092000001
61,14,116.429581527000000,39.900559297299999
62,14,116.429719128000000,39.900411556100003
